RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date
5631,35467,DOMESTIC VODKA FLAVORS,SMIRNOFF VODKA - RASPBERRY TW - 1L,1L,0,17.99,,
5632,76297,DOMESTIC VODKA,NEW AMSTERDAM VODKA - 200ML,200ML,456,4.99,,
5633,319262,AMERICAN WHITE,CANYON ROAD P/GRIG - 1.5L,1.5L,42,13.99,,
5634,47543,SINGLE MALT SCOTCH,OBAN 14YR - 750ML (1 Bottle),750ML,0,81.99,72.99,46022
5635,85197,AMERICAN TABLE WINE,FRANZIA SUMMIT CHILL RED BIB - 5L (1 Bottle),5L,552,20.99,17.99,46022
5636,66658,DOMESTIC BOTTLE BEER,SAM ADAMS OLD FEZZIWIG ALE 4/6 LN - 12.0Z (6-Pack),6pk,2544,10.99,,
5637,68012,PORT,TAYLOR FLADGATE LBV PORT - 750ML,750ML,0,29.99,,
5638,68713,TEQUILA,PATRON SILVER TEQUILA 12/CS - 375ML,375ML,660,22.99,,
5639,304922,COGNAC,MARTELL VS SINGLE DISTILLERY 750ML,750ML,132,35.99,,
5640,69897,AMERICAN WHITE,BOUCHON CHARDONNAY 750ML,750ML,132,16.99,,
5641,48624,AMERICAN WHITE,LA CREMA P/GRIS - 750ML,750ML,492,19.99,,
5642,12867,DOMESTIC CAN BEER,SIERRA NEVADA OKTOBERFEST 4/6 CN - 12.0Z (6-Pack),6pk,0,10.99,,
5643,81892,AMERICAN RED,CORBETT CANYON CAB - 1.5L,1.5L,360,11.99,,
5644,36161,IMPORTED VODKA FLAVORS,ABSOLUT VODKA - CITRON - 1L,1L,108,34.99,,
5645,30901,IMPORTED CAN BEER,MODELO CHELADA  2/12 CAN - 12.0Z (12-Pack),12pk,192,19.99,,
5646,38881,IMPORTED RUM FLAVORS,CAPTAIN MORGAN SPICED RUM - 1L,1L,264,25.99,,
5647,167781,DOMESTIC LIQUOR SPECIALTY,SKREWBALL PEANUT BUTTER WHISKEY 750ML,750ML,804,24.99,,
5648,373160,DOMESTIC VODKA,BUDDY'S AMERICAN VODKA - 1.75L,1.75L,264,15.99,,
5649,137448,SPANISH/PORTUGUESE,CAMPO VIEJO GRD RES - 750ML,750ML,0,21.99,,
5650,71619,STRAIGHT BOURBON WHISKEY,BULLEIT BOURBON - 1.75L,1.75L,750,57.99,,
5651,67865,DOMESTIC VODKA FLAVORS,BURNETTS VODKA - RASPBERRY - 1.75L,1.75L,186,14.99,,
5652,70323,STRAIGHT BOURBON WHISKEY,MAKER'S MARK 46 - 375ML,375ML,0,25.99,,
5653,248077,SESSION RTD,SURFSIDE LEMONADE VARIETY PACK 3/8PK 12OZ CAN - 12.0Z (8-Pack),8pk,56112,17.99,,
5654,26034,NEW ZEALAND,MONKEY BAY S/BLC - 750ML,750ML,612,11.99,,
5655,82251,NEW ZEALAND,CROSSING NEW ZELAND S/BLC - 750ML,750ML,564,16.99,,
5656,89753,AMERICAN BLUSH,BERINGER WH/ZIN - 750ML,750ML,456,10.99,,
5657,87246,SPARKLING,KORBEL BLANC DE NOIR CHAMPAGNE - 750ML,750ML,0,18.99,,
5658,42896,STRAIGHT BOURBON WHISKEY,FOUR ROSES BOURBON - 1.75L,1.75L,228,41.99,,
5659,96210,IMPORTED BOTTLE BEER,SINGHA BEER 4/6 NR - 12.0Z (6-Pack),6pk,3312,11.99,,
5660,67052,DOMESTIC CAN BEER,DOGFISH HEAD IPA 2/12 VP CANS - 12.0Z (12-Pack),12pk,4632,20.99,,
5661,83724,SPARKLING,KORBEL SWEET CUVEE - 750ML,750ML,252,17.99,,
5662,245068,STRAIGHT RYE WHISKEY,UNCLE NEAREST RYE - 750ML,750ML,132,52.99,,
5663,379336,FRENCH RED WINE,CHATEAU MASCARD RED - 750ML,750ML,0,24.99,,
5664,54519,STRAIGHT BOURBON WHISKEY,PENELOPE BOURBON - CELEBRATION PACK - 375ML (3-Pack),3pk,0,65.99,,
5665,42542,STRAIGHT BOURBON WHISKEY,MAKER'S MARK 90 BOURBON - 50ML,50ML,0,3.89,,
5666,89557,AMERICAN RED,BLACK BOX DOLCE SEMI SWEET RED - 3L-BIB,3L,42,21.98,,
5667,232660,FRENCH BLUSH,ATLANTIQUE ROSE - 750ML,750ML,180,11.99,,
5668,89547,IMPORTED NON ALCOHOLIC BEER,GOSLINGS PEACH GINGER BEER- NA-CAN(SODA) - 12.0Z (6-Pack),6pk,0,8.99,,
5669,336266,NON-ALCOHOLIC WINE,STELLA ROSA PEACH NA - 750ML,750ML,0,13.99,,
5670,48587,SOUR MASH WHISKEY,MICHTERS US1 SOUR MASH WHISKEY - 750ML,750ML,0,55.99,,
5671,86223,KOSHER,MOGEN DAVID CONCORD - 1.5L,1.5L,0,11.99,,
5672,81213,AMERICAN RED,ALMADEN MERLOT BIB - 5LTR,5LTR,240,23.99,,
5673,234674,RED BORDEAUX WINE,CH LAROSE TRINTAUDON - 750ML,750ML,0,31.99,,
5674,18962,DOMESTIC CAN BEER,DENIZENS HIKE THE ALPS: HEFEWEIZEN 4/6 CANS - 12.0Z (6-Pack),6pk,0,11.99,,
5675,242105,AMERICAN WHITE,MENAGE A TROIS LIMELIGHT PINOT GRIGIO 750ML,750ML,360,12.99,,
5676,237945,AMERICAN BLUSH,MURPHY GOODE CALIF ROSE - 750ML,750ML,0,14.99,,
5677,247402,SPANISH/PORTUGUESE,IZIDRO MADEIRA RAINWATER MEDIUM DRY - 750ML,750ML,0,19.99,,
5678,356946,ARGENTINA,LOS HAROLDOS ESTATE MALBEC - 750ML,750ML,0,17.99,,
5679,247728,FRENCH RED WINE,ZOU ROUGE - 750ML,750ML,0,14.99,,
5680,169655,STRAIGHT BOURBON WHISKEY,GARRISON BROS SINGLE BARREL BOURBON 750ML,750ML,0,112.99,,
5681,237956,FRENCH BLUSH,HAMPTON WATER ROSE - 750ML,750ML,168,23.99,,
5682,169654,STRAIGHT BOURBON WHISKEY,GARRISON BROS HONEYDEW STRAIGHT BOURBON 750ML,750ML,0,89.99,,
5683,42005,DOMESTIC CORDIALS,BARTON'S SCHNAPPS - PEACH - 750ML,750ML,1800,6.99,,
