RecordID,Code,Category,Description,Size,TotalInventory,Price,SalePrice,SaleEndDate,SnapshotDate,Availability
6657,34843,CHAMPAGNE,VEUVE CLICQUOT DEMI SEC - 750ML,750ML,0,69.99,,,46010,OutofStock
6658,54442,PRE-MIX COCKTAILS,PENELOPE PEACH OLD FASHIONED - 750ML,750ML,0,28.99,,,46010,OutofStock
6659,170846,IMPORTED GIN,ARBIKIE NADAR GIN 750ML,750ML,0,44.99,,,46010,OutofStock
6660,89418,LIQ BASED RTD,TIP TOP PENICILLIN COCKT RTD 6/4PK - 100ML (4-Pack),4pk,0,23.99,,,46010,OutofStock
6661,48506,DOMESTIC LIQUOR SPECIALTY,OLE SMOKY MOONSHINE PEACHES - 750ML,750ML,0,27.99,,,46010,OutofStock
6662,171809,IMPORTED VODKA FLAVORS,ARBIKIE CHILI VODKA 750ML,750ML,0,41.99,,,46010,OutofStock
6663,171810,MISCELLANEOUS IMPORTED SPIRITS,ARBIKIE 1794 HIGHLAND RYE WHISKEY 750ML,750ML,0,82.99,,,46010,OutofStock
6664,171807,IMPORTED VODKA FLAVORS,ARBIKIE STRAWBERRY VODKA 750ML,750ML,0,41.99,,,46010,OutofStock
6665,171808,IMPORTED VODKA,ARBIKIE NADAR VODKA 750ML,750ML,0,43.99,,,46010,OutofStock
6666,68889,MALT BASED SELTZER,DC BRAU FULL TRANSPARENCY VARIETY 2/12 CANS - 12.0Z (12-Pack),12pk,0,18.99,,,46010,OutofStock
6667,89105,STRAIGHT RYE WHISKEY,WHISTLEPIG ASSORTED PIGLETS RYE WHISKIES 12/3PK - 50ML (3-Pack),3pk,0,23.99,,,46010,OutofStock
6668,166714,NON-ALCOHOLIC MIXERS,GEORGE'S MARG MIX LIME 32OZ - 32.0Z,32.0Z,0,6.99,,,46010,OutofStock
6669,54322,DOMESTIC CAN BEER,BEER FARM ICE CREAM ALE VP 2/12 CANS - 12.0Z (12-Pack),12pk,0,26.99,,,46010,OutofStock
6670,54304,DOMESTIC CAN BEER,LONE OAK MOCO LITE 6/4 16OZ CANS - 16.0Z (4-Pack),4pk,0,16.99,,,46010,OutofStock
6671,42275,NON-ALCOHOLIC MIXERS,FEVER TREE PREM GINGER ALE 6/4PK - 200ML (4-Pack),4pk,0,7.99,,,46010,OutofStock
6672,26144,DOMESTIC CAN BEER,SIERRA NEVADA SUMMERFEST 4/6 CAN - 12.0Z (6-Pack),6pk,0,10.99,,,46010,OutofStock
