RecordID,Code,Category,Description,Size,Total Inventory,Price,Sale Price,Sale End Date,SnapshotDate
88,19039,IMPORTED GIN,HENDRICKS FLORA ADORA GIN 750ML,750ML,156,41.99,,,46008
89,16519,TEQUILA,TRES GENERACIONES ANEJO 750ML,750ML,102,48.99,,,46008
90,57070,AMERICAN RED,CH ST MICH INDIAN WELLS MERLOT - 750ML,750ML,300,20.99,,,46008
91,37583,SPANISH/PORTUGUESE,MARQUES DE CACERES RED BLEND (BLUE LABEL) 750ML,750ML,144,13.99,,,46008
92,345006,AMERICAN RED,Z ALEXANDER BROWN TRI COUNTY P/NOIR - 750ML (1 Bottle),750ML,168,18.99,13.99,46022,46008
93,89248,LIQUEUR,BARTON 1792 DIST CHOCOLATE BOURB BALL CREAM LIQ - 750ML,750ML,0,27.99,,,46008
94,80993,PORT,TAYLOR TAWNY PORT - 750ML,750ML,72,9.99,,,46008
95,238052,MISCELLANEOUS IMPORTED SPIRITS,JINRO GREEN GRAPE SOJU - 375ML,375ML,540,7.99,,,46008
96,333560,AMERICAN RED,BANSHEE MORDECAI RED - 750ML,750ML,0,24.99,,,46008
97,82279,AMERICAN RED,R STRONG RR VLY P/NOIR - 750ML,750ML,144,22.99,,,46008
98,82538,AMERICAN WHITE,FRANZIA CHARD BIB - 5L (1 Bottle),5L,388,24.99,20.99,46022,46008
99,33880,DOMESTIC RUM FLAVORS,ADMIRAL NELSON RUM - SPICED - 1.75L,1.75L,186,15.99,,,46008
100,91339,MISCELLANEOUS IMPORTED SPIRITS,EMPRESS 1908 INDIGO GIN 1.75L,1.75L,0,81.99,,,46008
101,66566,DOMESTIC CAN BEER,GOOSE ISLAND BEER HUG VP 2/12 CN - 12.0Z (12-Pack),12pk,1560,25.99,,,46008
102,63096,RED BORDEAUX WINE,CH TOUR DE GOUPIN RED BLEND - 750ML,750ML,360,15.99,,,46008
103,20120,DOMESTIC RUM,CLANDESTINO KIWI PITORRO 750ML,750ML,0,45.99,,,46008
104,340957,AMERICAN RED,MARK WEST BLK LBL P/NOIR - 750ML (1 Bottle),750ML,156,16.99,13.99,46022,46008
105,59323,STRAIGHT BOURBON WHISKEY,1792 SMALL BATCH RESERVE - 750ML (1 Bottle),750ML,408,29.99,25.99,46022,46008
106,238580,ITALIAN WHITE WINE,SCACCIADIAVOLI MONTEFALCO GRECHETTO - 750ML,750ML,0,15.99,,,46008
107,232662,RHONE RED WINE,DOM BERTHET RAYNE CDR RGE 15 - 750ML,750ML,132,17.99,,,46008
108,70808,STRAIGHT RYE WHISKEY,WHISTLEPIG OLD WORLD 12YR RYE - 750ML,750ML,0,180.99,,,46008
109,380936,SESSION RTD,BARTENURA PEACH BELLINI RTD 250ML 4PK CAN (4-Pack),4pk,0,18.99,,,46008
110,89641,BLENDED WHISKEY,TRAVELLER BLENDED WHISKEY - 750ML,750ML,0,54.99,,,46008
111,40941,IMPORTED VODKA FLAVORS,GREY GOOSE LE POIRE - 750ML,750ML,300,33.99,,,46008
112,18486,DOMESTIC CAN BEER,BEER FARM BAY LIGHT LAGER 1/15PK CANS - 12.0Z,12.0Z,0,22.99,,,46008
113,77324,STRAIGHT BOURBON WHISKEY,FOUR ROSES YELLOW LABEL - 750ML,750ML,792,22.99,,,46008
114,50318,TEQUILA,1800 TEQUILA SILVER 750ML,750ML,276,32.99,,,46008
115,54190,DOMESTIC LIQUOR SPECIALTY,MASH & MALLOW S'MORES WHISKEY - 750ML,750ML,0,30.99,,,46008
116,246306,STRAIGHT RYE WHISKEY,REDEMPTION SUR LEE 750ML,750ML,0,48.99,,,46008
117,46223,IMPORTED CORDIALS,BITTER TRUTH ORANGE BITTERS - 200ML,200ML,0,27.99,,,46008
118,54436,IMPORTED GIN,MUFF IRISH GIN  - 700ML,700ML,0,29.99,,,46008
119,169789,SESSION RTD,MOM WATER SUSAN STRAWBERRY KIWI 6/4PK 355ML (4-Pack),4pk,0,11.99,,,46008
120,235324,AMERICAN RED,ANAKOTA HELENA MONTANA VYD K/V CAB 14 - 750ML,750ML,0,254.99,,,46008
121,69111,DOMESTIC CAN BEER,7 LOCKS GRUBBY THICKET 4/6 CANS - 12.0Z (6-Pack),6pk,0,15.99,,,46008
122,238976,AUSTRALIAN,HICKINBOTHAM BROOKS RD SHIRAZ - 750ML,750ML,0,82.99,,,46008
123,171393,SPARKLING,MUMMS NAPA PRESTIGE BRUT 750ML,750ML,0,25.99,,,46008
124,232156,CHILE,ALCANCE VIGNO CARIGNAN - 750ML,750ML,0,48.99,,,46008
125,237320,WHITE BURGUNDY WINE,MEURGEY-CROSES MACON-UCHIZY VIN DE BOURG WHITE - 750ML,750ML,0,28.99,,,46008
126,20136,DOMESTIC LIQUOR SPECIALTY,FORDHAM LEE BOURBON WHISKEY 750ML,750ML,0,32.99,,,46008
127,18358,AMERICAN RED,COPPOLA DIRECT CUT SONOMA COAST CHARD 750ML,750ML,0,21.99,,,46008
128,42646,DOMESTIC CORDIALS,MCCLINTOCK COFFEE LIQUEUR - 750ML,750ML,0,33.99,,,46008
129,237430,ITALIAN RED WINE,TERRA COSTANTINO DE AETNA ETNA ROSSO - 750ML,750ML,0,28.99,,,46008
130,355422,DOMESTIC VODKA,SEACRETS BUMBLEBERRY VODKA - 750ML,750ML,0,30.99,,,46008
131,241122,DOMESTIC VODKA FLAVORS,MCCLINTOCK ORO VODKA CUCUMBER/LIME INFUSED - 750ML,750ML,0,27.99,,,46008
132,65129,AMERICAN RED,RED DIAMOND CAB - 750ML,750ML,0,9.99,,,46008
133,23905,DOMESTIC BOTTLE BEER,MILLER LITE LOOSE HIGH GRAPHIC-NR - 12.0Z,12.0Z,0,32.99,,,46008
134,88957,IMPORTED SCOTCH,BUCHANAN PINEAPPLE - 750ML,750ML,0,38.99,,,46008
135,40789,ARGENTINA,LUIGI BOSCA MALBEC - 750ML,750ML,312,19.99,,,46008
136,83829,AMERICAN BLUSH,BLACK BOX CALIFORNIA ROSE BIB - 3L,3L,156,21.99,,,46008
137,89243,LIQ BASED RTD,HEUBLEIN MARGARITA W/ CORAZON TEQ - 375ML,375ML,0,8.99,,,46008
138,378442,LOIRE VALLEY WINE,THIERRY DELAUNAY LE GRAND BALLON S/BLC - 750ML,750ML,492,14.99,,,46008
139,76567,TEQUILA,CLASE AZUL TEQUILA - PLATA - 750ML,750ML,0,178.99,,,46008
140,72553,DOMESTIC VODKA,NEW AMSTERDAM VODKA - 100P - 750ML,750ML,108,12.99,,,46008
141,80727,AMERICAN WHITE,BAREFOOT CEL S/BLC - 1.5L (1 Bottle),1.5L,642,14.99,12.99,46022,46008
142,72446,DOMESTIC VODKA,TITO'S HANDMADE VODKA - 50ML (12-Pack),12pk,12420,29.88,,,46008
143,54539,SESSION RTD,HIGH NOON SUN SIPS - TEA LAKE PACK  - 8 PK  - RTD- 355ML-CAN (8-Pack),8pk,432,19.99,,,46008
144,35211,DOMESTIC VODKA,SMIRNOFF VODKA - 50ML,50ML,5040,0.99,,,46008
145,171896,SINGLE MALT SCOTCH,COMPASS BOX CELESTIAL SCOTCH 700ML,700ML,0,179.99,,,46008
146,15920,AMERICAN WHITE,EDNA VALLEY CHARD - 750ML,750ML,204,14.99,,,46008
147,318942,AMERICAN RED,ORIN SWIFT PALERMO - 750ML,750ML,0,62.99,,,46008
148,17753,PRE-MIX COCKTAILS,JOSE CUERVO AUTHENTIC RASPBERRY COLADA MARG 1.75L,1.75L,0,14.99,,,46008
149,100023,FRANCE-OTHER,CH PARADIS-TERRE DES ANGES ROSE - 750ML,750ML,0,27.99,,,46008
150,380750,MISCELLANEOUS IMPORTED SPIRITS,MIS AMIGOS CHOCOLATE CREAM TEQUILA 6/700ML,700ML,0,43.99,,,46008
151,367704,ARGENTINA,FAMILIA ZUCCARDI UCO RED BLEND Q - 750ML,750ML,0,22.99,,,46008
152,297285,NON-ALCOHOLIC MIXERS,MASTER OF MIXES MOJITO 1.75L,1.75L,0,8.99,,,46008
153,439037,ARGENTINA,LUCA MENDOZA MAL - 750ML,750ML,0,37.99,,,46008
154,380723,BLENDED WHISKEY,BLUE NOTE RYE WHISKEY 6/750ML,750ML,0,39.99,,,46008
155,358878,AMERICAN WHITE,CADE S/BLC - 750ML,750ML,0,56.99,,,46008
156,166849,AMERICAN BLUSH,SUTTER HOME FRUIT INFUSION BERRY 6/1.5L,1.5L,0,14.99,,,46008
157,247633,SPARKLING,HAMPTON WATER ROSE BUBBLY - 750ML,750ML,0,33.99,,,46008
158,70901,NON-ALCOHOLIC MIXERS,FINEST CALL BLOODY MARY-NA - 1L,1L,96,4.99,,,46008
159,86916,KOSHER,MANISCHEWITZ BLACKBERRY - 1.5L,1.5L,150,13.99,,,46008
160,300813,ITALIAN WHITE WINE,ANTINORI VILLA WHITE - 750ML,750ML,0,14.99,,,46008
161,79740,VERMOUTH,CINZANO VERMOUTH ROSSO RED BLEND - 750ML,750ML,0,11.99,,,46008
162,378004,AMERICAN RED,MATCHBOOK EST BOTTLED MALBEC - 750ML,750ML,0,19.99,,,46008
163,574851,IMPORTED DESSERT WINE,ZOU PINEAPPLE WINE - 750ML,750ML,0,14.99,,,46008
164,54294,AMERICAN WHITE,ROMAN CLARKE VIOGNIER - 750ML,750ML,0,22.99,,,46008
165,350054,AMERICAN BLUSH,FIT VINE ROSE - 750ML,750ML,0,18.99,,,46008
166,16347,DOMESTIC RUM,CLANDESTINO COFFEE 200ML,200ML,0,21.99,,,46008
167,88692,AMERICAN RED,ESTANCIA  MERLOT - 750ML,750ML,48,14.99,,,46008
168,54291,BLENDED WHISKEY,TWIN VALLEY MDPB - 750ML,750ML,0,11.99,,,46008
169,42997,DOMESTIC VODKA,LOOK APPLE VODKA - 750ML,750ML,0,24.99,,,46008
170,297305,MISCELLANEOUS IMPORTED SPIRITS,GIN LANE 1751 LONDON DRY GIN - 750ML,750ML,0,33.99,,,46008
171,241478,DOMESTIC LIQUOR SPECIALTY,99 SCHNAPPS BIRTHDAY BUCKET - 21PK/50ML (21-Pack),21pk,0,22.89,,,46008
172,88207,FRANCE-OTHER,DOM GALUVAL COQ VOLANT BLANC - 750ML,750ML,0,17.99,,,46008
173,246104,STRAIGHT RYE WHISKEY,BALTIMORE SPIRITS EPOCH RYE RESERVE 750ML,750ML,0,58.99,,,46008
174,84235,RED BORDEAUX WINE,CH TOUR CHAPOUX BORDEAUX RED - 750ML,750ML,780,10.99,,,46008
175,71905,DOMESTIC VODKA FLAVORS,NEW AMSTERDAM VODKA - PEACH - 375ML,375ML,312,6.99,,,46008
176,70060,STRAIGHT BOURBON WHISKEY,WILD TURKEY AMERICAN HONEY LIQ - 1.75L,1.75L,0,36.99,,,46008
177,76228,TEQUILA,CAZADORES ANEJO TEQUILA 6/ - 750ML (1 Bottle),750ML,252,37.99,32.99,46022,46008
178,171125,AMERICAN RED,LA CREMA SONOMA CAB 750ML,750ML,216,39.99,,,46008
179,75175,AMERICAN RED,BERINGER FOUNDERS EST MER - 750ML (1 Bottle),750ML,0,10.99,8.99,46022,46008
